Run 1,Run 1,Run 1,Run 1,Run 1,Run 2,Run 2,Run 2,Run 2,Run 2,Run 3,Run 3,Run 3,Run 3,Run 3,Run 4,Run 4,Run 4,Run 4,Run 4,Run 5,Run 5,Run 5,Run 5,Run 5
Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²)
0.66,0.0232108309865,,,,0.6599999999999999,-0.007736943662170001,,,,0.65,-0.007736943662170001,0.0210945,0.0157208333333,-2.384921875,0.6599999999999999,0.0232108309865,0.0042875,-0.153397222222,-0.0401126060957,0.6500000000000002,0.0232108309865,,,
0.67,-0.007736943662170001,,,,0.6699999999999999,0.0232108309865,,,,0.66,-0.007736943662170001,,,,0.6699999999999999,0.0232108309865,,,,0.6600000000000003,0.0232108309865,,,
0.68,-0.007736943662170001,0.007889,-0.11671527777799999,-0.706643518519,0.6799999999999999,0.0232108309865,,,,0.67,-0.007736943662170001,,,,0.6799999999999999,0.0232108309865,,,,0.6700000000000003,0.0232108309865,,,
0.69,-0.007736943662170001,,,,0.69,-0.007736943662170001,0.0015435,-0.0690763888889,0.7781018518520001,0.68,-0.007736943662170001,,,,0.69,0.0232108309865,,,,0.6800000000000003,-0.007736943662170001,0.0231525,-0.0963496527778,-2.1033065682900003
0.7,0.0232108309865,,,,0.7,0.0232108309865,,,,0.6900000000000001,-0.007736943662170001,0.018865,-0.154588194444,-1.53685040509,0.7,0.0232108309865,0.0008575,-0.0637170138889,1.1153785686700002,0.6900000000000003,-0.007736943662170001,,,
0.71,0.0232108309865,,,,0.71,-0.007736943662170001,,,,0.7,-0.007736943662170001,,,,0.71,0.0232108309865,,,,0.7000000000000003,0.0232108309865,,,
0.72,-0.007736943662170001,0.0015435,-0.0797951388889,0.585478636188,0.72,0.0232108309865,,,,0.71,-0.038684718310800004,,,,0.7199999999999999,-0.007736943662170001,,,,0.7100000000000003,0.0232108309865,,,
0.73,-0.007736943662170001,,,,0.73,0.0232108309865,0.000686,-0.017626388888900002,0.8431090856479999,0.72,-0.007736943662170001,,,,0.7299999999999999,0.0232108309865,,,,0.7200000000000003,0.0232108309865,0.00343,-0.176144791667,-0.11661603009299999
0.74,0.0232108309865,,,,0.7399999999999999,0.0232108309865,,,,0.73,-0.007736943662170001,0.001372,-0.158994791667,0.519644338349,0.7399999999999999,0.0232108309865,0.001372,-0.00571666666667,1.0010783179,0.7300000000000003,-0.007736943662170001,,,
0.75,0.0232108309865,,,,0.7499999999999999,-0.007736943662170001,,,,0.74,-0.007736943662170001,,,,0.7499999999999999,0.0232108309865,,,,0.7400000000000002,0.0232108309865,,,
