"Run 5: Time (s)","Run 5: Force (N)","Run 5: Position (m)","Run 5: Velocity (m/s)","Run 5: Acceleration (m/s²)","Run 1: Time (s)","Run 1: Force (N)","Run 1: Position (m)","Run 1: Velocity (m/s)","Run 1: Acceleration (m/s²)","Run 2: Time (s)","Run 2: Force (N)","Run 2: Position (m)","Run 2: Velocity (m/s)","Run 2: Acceleration (m/s²)","Run 3: Time (s)","Run 3: Force (N)","Run 3: Position (m)","Run 3: Velocity (m/s)","Run 3: Acceleration (m/s²)","Run 4: Time (s)","Run 4: Force (N)","Run 4: Position (m)","Run 4: Velocity (m/s)","Run 4: Acceleration (m/s²)"
0.64,1.08897864632,0.5132995,0.455427777778,0.17533757716,0.64,1.05803087167,0.20923,0.262609375,0.62186945409,0.64,1.08897864632,0.18865,0.0420413194444,1.93541256752,0.64,1.11799218506,0.188993,-0.242958333333,0.77404923804,0.64,1.1489399597,0.1949955,-0.213064930556,-0.543050250772
0.65,1.08897864632,,,,0.65,1.08897864632,,,,0.65,1.1489399597,,,,0.65,1.11799218506,,,,0.65,1.1489399597,,,
0.66,1.08897864632,,,,0.66,1.05803087167,,,,0.66,1.1489399597,,,,0.66,1.05803087167,,,,0.66,1.1489399597,,,
0.67,1.08897864632,,,,0.67,1.05803087167,,,,0.67,1.1489399597,,,,0.67,1.05803087167,,,,0.67,1.1489399597,,,
0.68,1.08897864632,0.53165,0.464360069444,0.204450231481,0.68,1.08897864632,0.220549,0.253319791667,0.17475863233,0.68,1.17988773435,0.1901935,0.141725694444,1.98462287809,0.68,1.05803087167,0.187964,-0.0768177083333,2.08502845293,0.68,1.1489399597,0.1888215,-0.106115625,1.35034746335
0.69,1.11799218506,,,,0.69,1.05803087167,,,,0.69,1.210835509,,,,0.69,1.05803087167,,,,0.69,1.1489399597,,,
0.7,1.08897864632,,,,0.7,1.08897864632,,,,0.7,1.210835509,,,,0.7,1.08897864632,,,,0.7,1.1489399597,,,
0.71,1.08897864632,,,,0.71,1.08897864632,,,,0.71,1.1489399597,,,,0.71,1.1489399597,,,,0.71,1.1489399597,,,
0.72,1.08897864632,0.550515,0.472458680556,0.225623070988,0.72,1.08897864632,0.228781,0.253796180556,0.287818287037,0.72,1.11799218506,0.200312,0.232358680556,1.36763310185,0.72,1.1489399597,0.1888215,-0.0103614583333,1.81697699653,0.72,1.1489399597,0.189336,-0.0291788194444,1.66430097415
0.73,1.08897864632,,,,0.73,1.08897864632,,,,0.73,1.08897864632,,,,0.73,1.1489399597,,,,0.73,1.1489399597,,,
0.74,1.11799218506,,,,0.74,1.08897864632,,,,0.74,1.11799218506,,,,0.74,1.08897864632,,,,0.74,1.1489399597,,,
0.75,1.11799218506,,,,0.75,1.05803087167,,,,0.75,1.1489399597,,,,0.75,1.11799218506,,,,0.75,1.1489399597,,,
