Run 1,Run 1,Run 1,Run 1,Run 1,Run 2,Run 2,Run 2,Run 2,Run 2,Run 3,Run 3,Run 3,Run 3,Run 3,Run 4,Run 4,Run 4,Run 4,Run 4,Latest,Latest,Latest,Latest,Latest
Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²)
0.98,-0.0309477746487,,,,0.9800000000000001,-0.030947774648599997,,,,0.9800000000000008,-0.0309477746487,-0.019894,-0.00214375,0.0241502700617,0.9800000000000006,0.0,-0.0200655,-0.001071875,-0.00115788966049,0.98,-0.030947774648700004,-0.020923,-0.00988506944444,-0.0224961419753
1.0,0.0,-0.0214375,0.0151253472222,0.211149450231,1.0,0.0,-0.020237,-0.0109569444444,0.119676167052,1.0000000000000007,-0.0309477746487,,,,1.0000000000000007,0.0,,,,1.0,-0.030947774648700004,,,
1.02,-0.0309477746487,,,,1.02,0.0,,,,1.0200000000000007,0.0,-0.020923,-0.00809861111111,0.159871479552,1.0200000000000007,0.0,-0.0207515,0.001071875,0.0236540316358,1.02,-0.030947774648700004,-0.0204085,-0.00881319444444,0.105946903935
1.04,-0.0309477746487,-0.018179,0.0333472222222,0.00851875964506,1.04,0.0,-0.0210945,-0.00512118055556,0.507238377701,1.0400000000000007,-0.0309477746487,,,,1.0400000000000005,0.0,,,,1.04,0.0,,,
1.06,0.0,,,,1.06,0.0,,,,1.0600000000000007,0.0,-0.021609,0.00976597222222,0.312961033951,1.0600000000000005,-0.030947774648700004,-0.019894,0.00238194444444,0.0330825617284,1.06,-0.030947774648700004,-0.021952,0.000595486111111,0.174096981096
1.08,-0.0309477746487,-0.0176645,0.0232239583333,-0.350013503086,1.08,0.0309477746487,-0.0221235,0.0354909722222,0.68580150463,1.0800000000000007,-0.0309477746487,,,,1.0800000000000005,-0.030947774648700004,,,,1.08,0.0,,,
1.1,0.0,,,,1.1,0.0,,,,1.1000000000000008,-0.0309477746487,-0.019894,0.0232239583333,0.323299334491,1.1000000000000005,-0.030947774648700004,-0.020237,-0.00190555555556,0.164585744599,1.1,0.0,-0.02058,0.0131006944444,0.0673230131173
1.12,0.0,-0.015778,0.000357291666667,-0.555042679398,1.12,0.0309477746487,-0.018522,0.0752694444444,0.251179349923,1.1200000000000006,-0.0309477746487,,,,1.1200000000000006,0.0,,,,1.12,-0.030947774648700004,,,
1.14,-0.0309477746487,,,,1.1400000000000001,0.0309477746487,,,,1.1400000000000006,-0.0309477746487,-0.0197225,0.0376347222222,0.2545703125,1.1400000000000006,0.0,-0.0210945,0.0165545138889,0.273592785494,1.1400000000000001,-0.030947774648700004,-0.019894,0.00547847222222,-0.0231577932099
1.16,-0.0309477746487,-0.0166355,-0.0423986111111,-0.26912663966,1.1600000000000001,0.0309477746487,-0.0145775,0.0763413194444,-0.590937258873,1.1600000000000006,-0.0309477746487,,,,1.1600000000000006,-0.030947774648700004,,,,1.16,-0.030947774648700004,,,
1.18,-0.0309477746487,,,,1.1800000000000002,0.0309477746487,,,,1.1800000000000006,0.0,-0.016807,0.0465670138889,0.0959394290123,1.1800000000000006,0.0,-0.0183505,0.0254868055556,0.237863618827,1.18,0.0,-0.020237,-0.000476388888889,0.134232494213
1.2,-0.0309477746487,-0.021609,-0.0309652777778,0.241668113426,1.2000000000000002,0.0309477746487,-0.0087465,-0.000476388888889,-0.766605661651,1.2000000000000006,-0.0309477746487,,,,1.2000000000000006,0.0,,,,1.2,0.0,,,
1.22,-0.0309477746487,,,,1.2200000000000002,0.0309477746487,,,,1.2200000000000006,-0.0309477746487,-0.015778,0.0485916666667,-0.114134837963,1.2200000000000006,0.0,-0.019208,0.0351336805556,0.177653356481,1.22,-0.030947774648700004,-0.0210945,0.0181027777778,0.267224392361
1.24,0.0,-0.019894,-0.000595486111111,0.272600308642,1.2400000000000002,0.0,-0.016807,-0.0308461805556,0.0828718171296,1.2400000000000007,0.0,,,,1.2400000000000007,0.0,,,,1.24,0.0,,,
1.26,0.0,,,,1.2600000000000002,0.0309477746487,,,,1.2600000000000007,-0.0309477746487,-0.012005,0.0319180555556,-0.204781057099,1.2600000000000007,0.0,-0.0159495,0.0502590277778,-0.0887439718364,1.26,0.0,-0.018179,0.0275114583333,0.235961371528
1.28,0.0,-0.0200655,-0.000833680555556,0.0943680073302,1.2800000000000002,0.0,-0.015092,0.024653125,0.572080198688,1.2800000000000007,-0.0309477746487,,,,1.2800000000000007,0.0,,,,1.2799999999999998,0.0,,,
1.3,-0.0309477746487,,,,1.3,0.0309477746487,,,,1.3000000000000007,-0.0309477746487,-0.01372,0.0232239583333,-0.110082224151,1.3000000000000007,0.0,-0.013034,0.0211993055556,-0.191134500386,1.2999999999999998,0.0,-0.0190365,0.0370392361111,0.161194782022
1.32,0.0,-0.0200655,-0.00142916666667,0.0841951195988,1.32,0.0,-0.013034,0.0481152777778,0.298652826003,1.3200000000000007,0.0,,,,1.3200000000000007,0.0,,,,1.3199999999999998,-0.030947774648700004,,,
1.34,-0.0309477746487,,,,1.34,0.0,,,,1.3400000000000007,-0.0309477746487,-0.0111475,0.0339427083333,-0.22223210841,1.3400000000000007,0.0,-0.015435,0.0170309027778,0.0741049382716,1.3399999999999999,-0.030947774648700004,-0.0156065,0.0513309027778,-0.127615981867
1.36,-0.0309477746487,-0.020237,-0.00119097222222,0.290216772762,1.36,0.0,-0.0104615,0.0531173611111,-0.185841290509,1.3600000000000008,-0.0309477746487,,,,1.3600000000000005,-0.030947774648700004,,,,1.3599999999999999,-0.030947774648700004,,,
1.38,0.0,,,,1.3800000000000001,0.0,,,,1.3800000000000008,0.0,-0.009261,0.00893229166667,-0.39467496142,1.3800000000000006,0.0,-0.013034,0.0395402777778,0.0799770929784,1.38,0.0,-0.012691,0.0194128472222,-0.234886188272
