Run 1,Run 1,Run 1,Run 1,Run 1,Run 2,Run 2,Run 2,Run 2,Run 2,Run 3,Run 3,Run 3,Run 3,Run 3,Run 4,Run 4,Run 4,Run 4,Run 4,Latest,Latest,Latest,Latest,Latest
Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²)
0.96,1.0889786463200002,0.30304050000000005,0.339665277778,0.28004388503100003,0.9500000000000002,1.1489399597,0.303898,0.335735069444,0.280622829861,0.9500000000000002,1.0889786463200002,,,,0.95,1.0889786463200002,0.3020115,0.34157083333300003,0.29112654321,0.9500000000000001,1.0889786463200002,,,
0.97,1.0889786463200002,,,,0.9600000000000002,1.1489399597,,,,0.9600000000000002,1.1179921850599999,0.3037265,0.33704513888899995,0.19311945409000003,0.96,1.0580308716700002,,,,0.9600000000000001,1.0889786463200002,,,
0.98,1.0889786463200002,,,,0.9700000000000002,1.1489399597,,,,0.9700000000000002,1.1179921850599999,,,,0.97,1.0889786463200002,,,,0.9700000000000001,1.0889786463200002,0.30338350000000003,0.34357166666699995,0.278811559606
0.99,1.1179921850599999,,,,0.9800000000000002,1.1489399597,,,,0.9800000000000002,1.1489399597,,,,0.98,1.0580308716700002,,,,0.9800000000000001,1.0889786463200002,,,
1.0,1.0889786463200002,0.3164175,0.350503125,0.347697723765,0.9900000000000002,1.17988773435,0.317961,0.34990763888899995,0.267720630787,0.9900000000000002,1.17988773435,,,,0.99,1.0889786463200002,0.315217,0.35371875,0.321810619213,0.9900000000000001,1.0889786463200002,,,
1.01,1.1179921850599999,,,,1.0,1.210835509,,,,1.0000000000000002,1.17988773435,0.316932,0.34347638888899995,0.24902898341,1.0,1.0889786463200002,,,,1.0,1.0889786463200002,,,
1.02,1.1489399597,,,,1.01,1.23984904774,,,,1.0100000000000002,1.17988773435,,,,1.01,1.0889786463200002,,,,1.01,1.1179921850599999,0.3171035,0.35633888888899995,0.353594690394
1.03,1.1489399597,,,,1.02,1.23984904774,,,,1.0200000000000002,1.1489399597,,,,1.02,1.0889786463200002,,,,1.02,1.0889786463200002,,,
1.04,1.1489399597,0.3304805,0.37277430555600005,0.29534456983,1.03,1.210835509,0.3321955,0.35681527777800004,0.255480082948,1.0300000000000002,1.1489399597,,,,1.03,1.0580308716700002,0.3297945,0.37348888888899995,0.227029079861,1.03,1.0889786463200002,,,
1.05,1.1489399597,,,,1.04,1.1489399597,,,,1.0400000000000003,1.1179921850599999,0.3308235,0.356696180556,0.309487364969,1.04,1.0580308716700002,,,,1.04,1.0889786463200002,,,
1.06,1.1489399597,,,,1.05,1.1489399597,,,,1.0500000000000003,1.1179921850599999,,,,1.05,1.0889786463200002,,,,1.05,1.0889786463200002,0.33150949999999996,0.37718090277800004,0.304864076968
1.07,1.1179921850599999,,,,1.06,1.1489399597,,,,1.0600000000000003,1.1489399597,,,,1.06,1.0580308716700002,,,,1.06,1.0889786463200002,,,
1.08,1.1489399597,0.3469445,0.37980104166699996,0.12422501929000002,1.07,1.1179921850599999,0.346087,0.372178819444,0.211397569444,1.0700000000000003,1.1489399597,,,,1.07,1.0889786463200002,0.34591550000000004,0.37670451388899995,0.05359375,1.07,1.0889786463200002,,,
1.09,1.1489399597,,,,1.08,1.1179921850599999,,,,1.0800000000000003,1.17988773435,0.3452295,0.375275347222,0.23215687692899997,1.08,1.0889786463200002,,,,1.08,1.1179921850599999,,,
1.1,1.1489399597,,,,1.09,1.1179921850599999,,,,1.0900000000000003,1.1489399597,,,,1.09,1.0889786463200002,,,,1.09,1.1179921850599999,0.347802,0.385994097222,0.141030960648
1.11,1.1179921850599999,,,,1.1,1.0889786463200002,,,,1.1000000000000003,1.1489399597,,,,1.1,1.0580308716700002,,,,1.1,1.1489399597,,,
1.12,1.0889786463200002,0.3613505,0.37598993055600005,0.0951123649691,1.11,1.1489399597,0.3627225,0.37241701388899995,0.194938994985,1.1100000000000003,1.1489399597,,,,1.11,1.0580308716700002,0.3606645,0.365271180556,0.142006896219,1.11,1.1179921850599999,,,
1.13,1.1179921850599999,,,,1.12,1.1489399597,,,,1.1200000000000003,1.17988773435,0.361865,0.37348888888899995,0.18534505208299998,1.12,1.0580308716700002,,,,1.12,1.0889786463200002,,,
